fund_code,fund_name,report_date,stock_name,stock_code,weight,market_value,industry_l1,industry_l2
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,首旅酒店,600258.SH,0.0077,1713712.0,社会服务,酒店餐饮
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,立讯精密,002475.SZ,0.0053,1187166.0,电子,消费电子
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,招商蛇口,001979.SZ,0.0043,967991.0,房地产,房地产开发
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,中国太保,601601.SH,0.0042,930959.0,非银金融,保险Ⅱ
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,阿里巴巴-W,09988.HK,0.004,903611.03,--,--
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,顺丰控股,002352.SZ,0.0039,874920.0,交通运输,物流
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,中芯国际,00981.HK,0.0037,828162.95,--,--
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,国泰海通,601211.SH,0.0035,779730.0,非银金融,证券Ⅱ
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,索菲亚,002572.SZ,0.0034,760200.0,轻工制造,家居用品
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,分众传媒,002027.SZ,0.0029,639935.0,传媒,广告营销
018506,创金合信益久9个月持有期债券型证券投资基金A类,2026-03-31,顺丰控股,06936.HK,0.0021,472950.4,--,--
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,海康威视,002415.SZ,0.1001,166283081.64,计算机,计算机设备
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,招商积余,001914.SZ,0.0989,164392468.5,房地产,房地产服务
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,晨光股份,603899.SH,0.098,162860171.81,轻工制造,文娱用品
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,安井食品,603345.SH,0.0742,123265752.18,食品饮料,食品加工
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,伊利股份,600887.SH,0.0679,112768250.5,食品饮料,饮料乳品
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,中国汽研,601965.SH,0.0591,98215996.7,汽车,汽车服务
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,海螺水泥,600585.SH,0.0369,61251252.0,建筑材料,水泥
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,首旅酒店,600258.SH,0.0233,38742174.8,社会服务,酒店餐饮
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,顺丰控股,002352.SZ,0.0201,33361080.0,交通运输,物流
001955,中欧养老产业混合型证券投资基金A类,2026-03-31,北新建材,000786.SZ,0.0154,25622713.28,建筑材料,装修建材
