fund_code,fund_name,证券代码
018506,创金合信益久9个月持有期债券A,018506.OF
001955,中欧养老混合A,001955.OF
014339,长江智能制造混合型发起式A,014339.OF
070011,嘉实策略混合,070011.OF
398001,中海优质成长混合,398001.OF
021891,融通中证港股通科技指数A,021891.OF
159807.SZ,科技ETF,159807.SZ
005544,银华瑞和灵活配置混合,005544.OF
016142,华安沣悦债券A,016142.OF
513160.SH,港股科技30ETF,513160.SH
017454,国泰慧益一年持有混合A,017454.OF
006314,国联策略优选混合A,006314.OF
012410,海富通成长领航混合A,012410.OF
004571,万家家瑞债券A,004571.OF
512000.SH,券商ETF,512000.SH
519778,交银经济新动力混合A,519778.OF
003015,中金沪深300指数增强A,003015.OF
013113,博时博盈稳健6个月持有期混合A,013113.OF
021730,富达低碳成长混合A,021730.OF
017980,南方养老目标2055五年持有混合发起(FOF)A,017980.OF
008515,国富基本面优选混合A,008515.OF
023466,华安中证A500增强策略ETF发起式联接A,023466.OF
350007,天治趋势精选混合,350007.OF
018112,工银北证50成份指数A,018112.OF
009085,银华丰享一年持有期混合,009085.OF
006477,中邮沪港深精选混合A,006477.OF
010697,国联行业先锋6个月持有混合A,010697.OF
003853,金鹰信息产业股票A,003853.OF
015133,华安鼎安优选一年持有混合A,015133.OF
013861,泓德产业升级混合A,013861.OF
017512,广发北证50成份指数A,017512.OF
010239,平安瑞尚六个月持有混合A,010239.OF
009618,交银启汇混合A,009618.OF
121005,国投瑞银创新动力混合,121005.OF
009179,嘉实中证主要消费ETF发起联接A,009179.OF
501029.SH,红利基金LOF,501029.SH
009062,财通智慧成长混合A,009062.OF
673120,西部利得新富混合A,673120.OF
010137,华泰柏瑞量化创享混合A,010137.OF
018698,国投瑞银盛煊混合A,018698.OF
005825,申万菱信智能驱动股票A,005825.OF
562970.SH,光伏ETF易方达,562970.SH
002420,汇添富盈鑫混合A,002420.OF
005609,富国军工主题混合A,005609.OF
023501,安信中证A500指数增强A,023501.OF
562380.SH,央企科技引领ETF,562380.SH
005810,南方瑞祥一年定开灵活配置混合A,005810.OF
159739.SZ,大数据ETF,159739.SZ
018285,博时集兴配置优选6个月持有混合发起式(FOF)A,018285.OF
202009,南方盛元红利混合,202009.OF
161902,万家增强收益债券,161902.OF
008551,东财医药A,008551.OF
001453,鹏华弘鑫混合A,001453.OF
560780.SH,芯片设备ETF,560780.SH
013639,光大保德信中证500指数增强A,013639.OF
009619,博时女性消费主题混合A,009619.OF
011580,民生加银稳健配置6个月混合型FOF,011580.OF
159676.SZ,创业板增强ETF富国,159676.SZ
001073,华泰柏瑞量化绝对收益混合,001073.OF
001719,工银国家战略股票,001719.OF
159627.SZ,A100ETF,159627.SZ
017600,华夏行业甄选混合A,017600.OF
012454,淳厚鑫悦混合A,012454.OF
005323,前海开源泽鑫混合A,005323.OF
563580.SH,自由现金流ETF800,563580.SH
519697,交银优势行业混合,519697.OF
011740,博时成长精选混合A,011740.OF
014287,泰康新锐成长混合A,014287.OF
023244,东海启元添益6个月持有混合发起式A,023244.OF
001277,博时国企改革主题股票A,001277.OF
005445,华宝价值发现混合A,005445.OF
020098,万家惠诚回报平衡一年持有期混合A,020098.OF
001322,东吴新趋势价值线混合,001322.OF
010955,天弘中证智能汽车A,010955.OF
010881,南方宝顺混合A,010881.OF
159657.SZ,疫苗ETF鹏华,159657.SZ
002319,大成一带一路灵活配置混合A,002319.OF
161727.SZ,招商增荣LOF,161727.SZ
004025,融通收益增强债券A,004025.OF
006522,财通新兴蓝筹混合A,006522.OF
012173,国泰兴泽优选一年持有期混合A,012173.OF
008134,鹏华优选价值股票A,008134.OF
561700.SH,电力ETF基金,561700.SH
040002,华安中国A股增强指数,040002.OF
011708,中欧嘉益一年混合A,011708.OF
000967,华泰柏瑞创新动力混合,000967.OF
002011,华夏红利混合,002011.OF
023522,中金中证A500指数增强A,023522.OF
004772,国寿安保稳泰一年定开混合A,004772.OF
001219,摩根动态多因子混合A,001219.OF
001074,华泰柏瑞量化驱动混合A,001074.OF
001629,天弘中证计算机主题ETF联接A,001629.OF
016568,嘉实碳中和主题混合A,016568.OF
011942,建信泓利一年持有期债券,011942.OF
011481,广发瑞锦一年定开混合,011481.OF
240010,华宝行业精选混合,240010.OF
004432,南方中证申万有色金属ETF发起联接A,004432.OF
021859,浙商汇金红利精选混合型发起式A,021859.OF
515010.SH,券商ETF基金,515010.SH
001117,中欧精选定期开放混合A,001117.OF
011136,广发盛兴混合A,011136.OF
015749,博时优享回报混合A,015749.OF
014797,富国融悦12个月持有期混合A,014797.OF
012926,民生加银中证500指数增强发起式A,012926.OF
513780.SH,港股创新药50ETF,513780.SH
002838,华夏新锦程混合A,002838.OF
008058,鹏华鑫享稳健混合A,008058.OF
011408,天弘益新A,011408.OF
090013,大成竞争优势混合A,090013.OF
013321,博时恒盈稳健一年持有期混合A,013321.OF
515760.SH,浙江国资ETF,515760.SH
019690,华商产业机遇混合A,019690.OF
013769,博时稳益9个月持有期混合A,013769.OF
000831,工银医疗保健股票,000831.OF
001490,汇添富国企创新增长股票A,001490.OF
017174,天弘国证绿色电力指数发起A,017174.OF
005707,富国港股通量化精选股票型A,005707.OF
019185,泰康中证1000指数增强发起A,019185.OF
010987,国联鑫锐精选一年持有混合A,010987.OF
003396,东方红优享红利混合A,003396.OF
