,F_stealth,F_hidden_cnt,F_hidden_log,F_stealth_sqrt,F_hr_thresh,F_total_funds,F_total_log,F_hidden_pct_all,F_composite,F_surprise,F_rank,mkt_cap,hidden_count,total_funds
F_stealth,1.0,0.868780020238256,0.8675833074021694,0.9970630118604156,0.8500861243556321,0.37177867916120017,0.4045286596850547,0.5251416987155226,0.8946423427787128,0.9038579949297633,0.9810433495834515,-0.07575906470476174,0.868780020238256,0.37177867916120017
F_hidden_cnt,0.868780020238256,1.0,0.9573717207699355,0.8544211750330931,0.3310689739329626,0.6778110652413454,0.6797600749816722,0.25318559509658006,0.9682410756265437,0.7989408653814252,0.8416486847842384,-0.017414343632736785,1.0,0.6778110652413454
F_hidden_log,0.8675833074021694,0.9573717207699355,1.0,0.8454160956830855,0.3151600882452875,0.6823535295417553,0.703635339353569,0.284740517957475,0.8844269606595024,0.836890945578547,0.8589692958329173,-0.012628687782738545,0.9573717207699355,0.6823535295417553
F_stealth_sqrt,0.9970630118604156,0.8544211750330931,0.8454160956830855,1.0,0.8335153939737966,0.33501623985114604,0.361847271304042,0.5583058112632858,0.8886368189415296,0.8957963503678057,0.9700210898184095,-0.08445672553425479,0.8544211750330931,0.33501623985114604
F_hr_thresh,0.8500861243556321,0.3310689739329626,0.3151600882452875,0.8335153939737966,1.0,-0.425358929396804,-0.42286964392533,0.7397527250477728,0.5207606231077098,0.7845990451871991,0.8734512339841305,-0.0808559058877634,0.3310689739329626,-0.425358929396804
F_total_funds,0.37177867916120017,0.6778110652413454,0.6823535295417553,0.33501623985114604,-0.425358929396804,1.0,0.979900659273977,-0.40404916474229413,0.6199277594686174,0.5440011649957817,0.3685799981128777,0.2246077617251101,0.6778110652413454,1.0
F_total_log,0.4045286596850547,0.6797600749816722,0.703635339353569,0.361847271304042,-0.42286964392533,0.979900659273977,1.0,-0.41914415111573855,0.6176946832488566,0.5858915826734286,0.4117705402958192,0.20597354562099363,0.679760074981672,0.979900659273977
F_hidden_pct_all,0.5251416987155226,0.25318559509658006,0.284740517957475,0.5583058112632858,0.7397527250477728,-0.40404916474229413,-0.41914415111573855,1.0,0.24399243916818103,0.2259423162460539,0.49659684362579715,-0.21821073491121565,0.25318559509658006,-0.40404916474229413
F_composite,0.8946423427787128,0.9682410756265437,0.8844269606595024,0.8886368189415296,0.5207606231077098,0.6199277594686174,0.6176946832488566,0.24399243916818103,1.0,0.8297172263024296,0.851925268648481,-0.008811197046143087,0.9682410756265437,0.6199277594686174
F_surprise,0.9038579949297633,0.7989408653814252,0.836890945578547,0.8957963503678057,0.7845990451871991,0.5440011649957817,0.5858915826734286,0.2259423162460539,0.8297172263024296,1.0,0.8939712825389804,0.010459419720112035,0.7989408653814251,0.5440011649957817
F_rank,0.9810433495834515,0.8416486847842384,0.8589692958329173,0.9700210898184095,0.8734512339841305,0.3685799981128777,0.4117705402958192,0.49659684362579715,0.851925268648481,0.8939712825389804,1.0,-0.07692291769807902,0.8416486847842384,0.3685799981128776
mkt_cap,-0.07575906470476174,-0.017414343632736785,-0.012628687782738545,-0.08445672553425479,-0.0808559058877634,0.2246077617251101,0.20597354562099363,-0.21821073491121565,-0.008811197046143087,0.010459419720112035,-0.07692291769807902,1.0,-0.01741434363273679,0.2246077617251101
hidden_count,0.868780020238256,1.0,0.9573717207699355,0.8544211750330931,0.3310689739329626,0.6778110652413454,0.679760074981672,0.25318559509658006,0.9682410756265437,0.7989408653814251,0.8416486847842384,-0.01741434363273679,1.0,0.6778110652413454
total_funds,0.37177867916120017,0.6778110652413454,0.6823535295417553,0.33501623985114604,-0.425358929396804,1.0,0.979900659273977,-0.40404916474229413,0.6199277594686174,0.5440011649957817,0.3685799981128776,0.2246077617251101,0.6778110652413454,1.0
