stock_name,total_funds,funds_with_top5,hidden_count,HiddenRatio,coverage_flag
*ST东通,2,1,1,1.0,True
*ST中地,2,0,0,,False
*ST凯鑫,3,2,2,1.0,True
*ST南置,2,2,2,1.0,True
*ST大晟,1,0,0,,False
*ST天择,5,4,4,1.0,True
*ST天茂,6,1,1,1.0,True
*ST奥维,1,1,1,1.0,True
*ST新元,1,0,0,,False
*ST松发,10,8,3,0.375,True
*ST椰岛,1,1,1,1.0,True
*ST汇科,3,1,0,0.0,True
*ST生物,1,0,0,,False
*ST紫天,1,1,1,1.0,True
*ST铖昌,2,2,1,0.5,True
ST中青宝,1,0,0,,False
ST华通,10,9,1,0.1111111111111111,True
ST华铭,1,1,1,1.0,True
ST广物,1,1,1,1.0,True
ST应急,2,0,0,,False
ST未名,1,0,0,,False
ST葫芦娃,1,0,0,,False
ST诺泰,10,10,5,0.5,True
ST逸飞,1,1,1,1.0,True
TCL中环,10,7,7,1.0,True
TCL智家,10,10,10,1.0,True
TCL科技,10,7,2,0.2857142857142857,True
一博科技,4,3,3,1.0,True
一品红,10,10,6,0.6,True
一心堂,10,8,2,0.25,True
一拖股份,6,3,3,1.0,True
一汽解放,3,2,2,1.0,True
一致魔芋,2,2,2,1.0,True
一鸣食品,1,1,1,1.0,True
七一二,10,9,4,0.4444444444444444,True
七匹狼,3,3,3,1.0,True
万业企业,4,1,1,1.0,True
万东医疗,4,2,2,1.0,True
万丰奥威,10,9,4,0.4444444444444444,True
万丰股份,1,1,1,1.0,True
万兴科技,2,1,0,0.0,True
万凯新材,3,3,3,1.0,True
万华化学,10,6,2,0.3333333333333333,True
万向德农,1,1,1,1.0,True
万向钱潮,5,4,4,1.0,True
万和电气,5,5,4,0.8,True
万孚生物,2,1,0,0.0,True
万安科技,1,1,0,0.0,True
万得凯,1,1,1,1.0,True
万德斯,3,2,2,1.0,True
万朗磁塑,1,1,1,1.0,True
万泰生物,10,1,0,0.0,True
万泽股份,6,3,3,1.0,True
万润新能,1,1,1,1.0,True
万润科技,1,0,0,,False
万润股份,1,1,0,0.0,True
万源通,1,1,1,1.0,True
万祥科技,3,2,2,1.0,True
万科A,10,3,2,0.6666666666666666,True
万辰集团,10,9,4,0.4444444444444444,True
万达信息,2,2,0,0.0,True
万达电影,7,3,1,0.3333333333333333,True
万通发展,2,0,0,,False
万通智控,1,1,1,1.0,True
万通液压,5,5,2,0.4,True
万邦医药,1,0,0,,False
万里股份,1,1,1,1.0,True
万里马,1,1,1,1.0,True
万隆光电,1,1,1,1.0,True
万集科技,4,4,4,1.0,True
万顺新材,1,0,0,,False
万马股份,3,0,0,,False
三一重工,10,7,5,0.7142857142857143,True
三一重能,8,6,6,1.0,True
三七互娱,10,2,2,1.0,True
三丰智能,4,1,1,1.0,True
三人行,3,2,2,1.0,True
三元生物,1,1,1,1.0,True
三元股份,1,1,1,1.0,True
三全食品,1,1,0,0.0,True
三六零,10,1,1,1.0,True
三利谱,10,10,4,0.4,True
三博脑科,1,0,0,,False
三友化工,3,2,2,1.0,True
三友医疗,10,10,4,0.4,True
三变科技,1,0,0,,False
三只松鼠,10,9,5,0.5555555555555556,True
三夫户外,3,3,3,1.0,True
三孚股份,1,1,1,1.0,True
三安光电,10,3,3,1.0,True
三峡能源,10,2,1,0.5,True
三峰环境,5,5,4,0.8,True
三德科技,1,0,0,,False
三态股份,2,0,0,,False
三房巷,1,1,1,1.0,True
三星医疗,10,10,5,0.5,True
三晖电气,2,2,0,0.0,True
三未信安,2,1,1,1.0,True
三棵树,10,8,2,0.25,True
三江购物,1,1,1,1.0,True
三湘印象,1,0,0,,False
三特索道,7,6,4,0.6666666666666666,True
三环集团,10,6,5,0.8333333333333334,True
三生国健,10,8,7,0.875,True
三祥新材,5,5,2,0.4,True
三维化学,10,9,6,0.6666666666666666,True
三美股份,10,10,5,0.5,True
三联虹普,8,7,5,0.7142857142857143,True
三联锻造,3,3,3,1.0,True
三花智控,10,5,4,0.8,True
三角轮胎,4,4,3,0.75,True
三角防务,6,4,3,0.75,True
三诺生物,10,7,6,0.8571428571428571,True
三达膜,2,2,2,1.0,True
三鑫医疗,3,2,1,0.5,True
三钢闽光,10,9,7,0.7777777777777778,True
上声电子,8,7,5,0.7142857142857143,True
上大股份,1,1,1,1.0,True
上实发展,1,0,0,,False
上峰水泥,5,3,3,1.0,True
上汽集团,10,7,5,0.7142857142857143,True
上海临港,4,1,1,1.0,True
上海九百,1,0,0,,False
上海凤凰,1,0,0,,False
上海凯宝,3,0,0,,False
上海医药,10,7,5,0.7142857142857143,True
上海合晶,1,0,0,,False
上海家化,10,9,4,0.4444444444444444,True
上海建工,3,1,1,1.0,True
上海建科,2,0,0,,False
上海新阳,1,1,1,1.0,True
上海机场,10,4,1,0.25,True
上海机电,4,4,3,0.75,True
上海汽配,1,1,1,1.0,True
上海沪工,2,2,2,1.0,True
上海沿浦,10,8,5,0.625,True
上海洗霸,4,4,2,0.5,True
上海港湾,2,2,2,1.0,True
上海瀚讯,10,8,2,0.25,True
上海物贸,1,0,0,,False
上海环境,2,0,0,,False
上海电力,2,0,0,,False
上海电影,10,9,9,1.0,True
上海电气,2,1,0,0.0,True
上海石化,1,0,0,,False
上海能源,3,0,0,,False
上海莱士,10,3,3,1.0,True
上海谊众,2,2,2,1.0,True
上海贝岭,7,0,0,,False
上海钢联,7,5,3,0.6,True
上海银行,10,5,5,1.0,True
上港集团,10,9,8,0.8888888888888888,True
上纬新材,2,2,2,1.0,True
上能电气,8,6,5,0.8333333333333334,True
世华科技,9,9,4,0.4444444444444444,True
世嘉科技,1,1,1,1.0,True
世纪瑞尔,1,1,1,1.0,True
世纪鼎利,2,2,2,1.0,True
世联行,2,1,1,1.0,True
世运电路,8,7,4,0.5714285714285714,True
东信和平,3,2,2,1.0,True
东兴证券,10,7,6,0.8571428571428571,True
东北制药,2,1,1,1.0,True
东北证券,9,8,8,1.0,True
东华测试,1,1,1,1.0,True
东华科技,9,9,9,1.0,True
东华软件,10,2,2,1.0,True
东南电子,4,3,3,1.0,True
东吴证券,10,8,5,0.625,True
东土科技,10,7,6,0.8571428571428571,True
东威科技,10,9,4,0.4444444444444444,True
东富龙,1,1,0,0.0,True
东尼电子,2,2,2,1.0,True
东山精密,10,6,3,0.5,True
东岳硅材,7,6,6,1.0,True
东方创业,2,1,1,1.0,True
东方国信,5,2,1,0.5,True
东方日升,9,6,5,0.8333333333333334,True
东方明珠,8,5,3,0.6,True
东方材料,1,1,1,1.0,True
东方环宇,2,0,0,,False
东方生物,4,2,2,1.0,True
东方电子,6,5,3,0.6,True
东方电气,10,7,5,0.7142857142857143,True
东方电热,1,1,1,1.0,True
东方电缆,10,9,2,0.2222222222222222,True
东方盛虹,3,2,2,1.0,True
东方精工,4,1,1,1.0,True
东方证券,10,2,2,1.0,True
东方财富,10,2,2,1.0,True
东方通信,2,0,0,,False
东方钽业,10,9,8,0.8888888888888888,True
东方铁塔,1,1,0,0.0,True
东方雨虹,10,9,4,0.4444444444444444,True
东材科技,8,8,6,0.75,True
东来技术,2,2,2,1.0,True
东杰智能,2,1,1,1.0,True
东江环保,1,1,1,1.0,True
东湖高新,4,0,0,,False
东珠生态,1,1,1,1.0,True
东瑞股份,5,5,3,0.6,True
东田微,2,2,2,1.0,True
东睦股份,10,9,3,0.3333333333333333,True
东箭科技,1,1,1,1.0,True
东航物流,7,6,6,1.0,True
东芯股份,8,4,2,0.5,True
东莞控股,1,0,0,,False
东诚药业,4,4,3,0.75,True
东软集团,10,9,9,1.0,True
东阳光,10,7,1,0.14285714285714285,True
东阿阿胶,10,8,1,0.125,True
东风股份,2,0,0,,False
东鹏控股,6,6,6,1.0,True
东鹏饮料,10,5,3,0.6,True
丝路视觉,1,1,1,1.0,True
两面针,1,1,1,1.0,True
