,mean_ic,ic_ir,t_stat,n,threshold,horizon
0,-0.014819450998226248,-0.29916380035269347,-3.4240862002630834,131,2,1M
1,-0.025736604059704484,-0.57209484292814,-6.497748356187821,129,2,3M
2,-0.034969565803151734,-0.718690422793571,-8.067279987747755,126,2,6M
3,-0.0485042042431971,-1.0838098025775311,-11.872541538338691,120,2,12M
4,-0.010958643471404695,-0.25685215411577306,-2.9398072740713093,131,3,1M
5,-0.021271711366801258,-0.5355514825192987,-6.082695567369109,129,3,3M
6,-0.028040487835687546,-0.6507379865945808,-7.304515783188046,126,3,6M
7,-0.03910796747350376,-0.9245007031338682,-10.127397790716135,120,3,12M
8,-0.010953902027892606,-0.2650769020407242,-3.0339438167855897,131,4,1M
9,-0.019277169192720267,-0.5104833504575228,-5.797976318610624,129,4,3M
10,-0.02422106750843343,-0.6125152900380344,-6.875467078448383,126,4,6M
11,-0.03399441238858927,-0.9975806528241214,-10.92794852965002,120,4,12M
12,-0.012791724743748553,-0.2984316559107294,-3.4157064241091066,131,5,1M
13,-0.020031800942814416,-0.4962038981061718,-5.635792916347535,129,5,3M
14,-0.02483395682327337,-0.6189789461942388,-6.948021438855672,126,5,6M
15,-0.03463161263204103,-1.12187339251658,-12.289507274923567,120,5,12M
16,-0.010763994256953815,-0.21482199179767536,-2.458750078586595,131,6,1M
17,-0.015982736061402342,-0.31760599330859357,-3.607310652152716,129,6,3M
18,-0.019378802466390736,-0.3736716157433991,-4.194453483822129,126,6,6M
19,-0.027785539964955877,-0.5933719772733955,-6.5000643388816295,120,6,12M
