factor,theory,ic_mean,ic_ir,t_stat,pos_rate,n_years,yearly_ics
RecognitionSpread | (Visible−Stealth),composite,0.043379244378861564,0.9668160728322467,3.2065661548694813,0.9090909090909091,11,"{2015: np.float64(-0.0012), 2016: np.float64(0.105), 2017: np.float64(0.0021), 2018: np.float64(0.0036), 2019: np.float64(0.0004), 2020: np.float64(0.0588), 2021: np.float64(0.0834), 2022: np.float64(0.0862), 2023: np.float64(0.0042), 2024: np.float64(0.0296), 2025: np.float64(0.1051)}"
VisibleBreadth_raw | (baseline),baseline,0.05997107941010818,0.8528387270118178,2.828546064182537,0.8181818181818182,11,"{2015: np.float64(-0.1044), 2016: np.float64(0.0761), 2017: np.float64(0.1193), 2018: np.float64(0.0603), 2019: np.float64(0.0718), 2020: np.float64(0.1184), 2021: np.float64(0.0498), 2022: np.float64(0.0738), 2023: np.float64(-0.0161), 2024: np.float64(0.1547), 2025: np.float64(0.056)}"
VisibleBreadth | (Merton 1987),composite,0.05997107941010818,0.8528387270118178,2.828546064182537,0.8181818181818182,11,"{2015: np.float64(-0.1044), 2016: np.float64(0.0761), 2017: np.float64(0.1193), 2018: np.float64(0.0603), 2019: np.float64(0.0718), 2020: np.float64(0.1184), 2021: np.float64(0.0498), 2022: np.float64(0.0738), 2023: np.float64(-0.0161), 2024: np.float64(0.1547), 2025: np.float64(0.056)}"
ConvictionBreadth | (GT/CP 2009),composite,0.05997107941010818,0.8528387270118178,2.828546064182537,0.8181818181818182,11,"{2015: np.float64(-0.1044), 2016: np.float64(0.0761), 2017: np.float64(0.1193), 2018: np.float64(0.0603), 2019: np.float64(0.0718), 2020: np.float64(0.1184), 2021: np.float64(0.0498), 2022: np.float64(0.0738), 2023: np.float64(-0.0161), 2024: np.float64(0.1547), 2025: np.float64(0.056)}"
AsymBreadth | (Shleifer-Vishny),composite,0.12120558390587374,0.7638840671720079,2.533516834140191,0.6363636363636364,11,"{2015: np.float64(0.4018), 2016: np.float64(-0.0266), 2017: np.float64(-0.0518), 2018: np.float64(-0.075), 2019: np.float64(0.2653), 2020: np.float64(0.1578), 2021: np.float64(0.1512), 2022: np.float64(-0.0661), 2023: np.float64(0.161), 2024: np.float64(0.1442), 2025: np.float64(0.2714)}"
QualityBreadth | (Breadth×ROA),composite,0.07885968987807777,0.6910354572770615,2.291905328619682,0.8181818181818182,11,"{2015: np.float64(-0.1285), 2016: np.float64(0.051), 2017: np.float64(0.2051), 2018: np.float64(0.1234), 2019: np.float64(0.1311), 2020: np.float64(0.202), 2021: np.float64(0.0777), 2022: np.float64(0.1268), 2023: np.float64(0.0155), 2024: np.float64(0.1729), 2025: np.float64(-0.1095)}"
CascadeScore | (BHW 1992),composite,0.1013301713340736,0.5081936313614656,1.68548759607417,0.9090909090909091,11,"{2015: np.float64(0.036), 2016: np.float64(0.0643), 2017: np.float64(0.0316), 2018: np.float64(0.0116), 2019: np.float64(0.0114), 2020: np.float64(0.0846), 2021: np.float64(0.1181), 2022: np.float64(-0.0351), 2023: np.float64(0.0559), 2024: np.float64(0.0462), 2025: np.float64(0.6901)}"
CoverageBreadth | (baseline),baseline,0.05874687642774414,0.4059690269789485,1.3464469389948408,0.5454545454545454,11,"{2015: np.float64(-0.2088), 2016: np.float64(-0.0055), 2017: np.float64(0.2275), 2018: np.float64(0.1116), 2019: np.float64(0.1536), 2020: np.float64(0.1458), 2021: np.float64(-0.028), 2022: np.float64(0.038), 2023: np.float64(-0.0339), 2024: np.float64(0.2977), 2025: np.float64(-0.0519)}"
AsymHidden | (HiddenRatio×Vol),composite,0.03240865394223753,0.3410903829840175,1.13126881995661,0.6363636363636364,11,"{2015: np.float64(0.0828), 2016: np.float64(-0.1156), 2017: np.float64(0.0603), 2018: np.float64(0.0227), 2019: np.float64(0.1843), 2020: np.float64(0.0734), 2021: np.float64(-0.0275), 2022: np.float64(-0.0527), 2023: np.float64(0.0043), 2024: np.float64(0.1781), 2025: np.float64(-0.0535)}"
SlowDiffBreadth | (Hong-Stein),composite,0.01602065376167808,0.09871466747077978,0.32739951330527794,0.5454545454545454,11,"{2015: np.float64(0.2684), 2016: np.float64(0.0657), 2017: np.float64(-0.1673), 2018: np.float64(-0.1206), 2019: np.float64(-0.0562), 2020: np.float64(-0.0138), 2021: np.float64(0.1147), 2022: np.float64(0.0471), 2023: np.float64(0.0458), 2024: np.float64(-0.2552), 2025: np.float64(0.2478)}"
Breadth×Size | (Fama-French),composite,0.01602065376167808,0.09871466747077978,0.32739951330527794,0.5454545454545454,11,"{2015: np.float64(0.2684), 2016: np.float64(0.0657), 2017: np.float64(-0.1673), 2018: np.float64(-0.1206), 2019: np.float64(-0.0562), 2020: np.float64(-0.0138), 2021: np.float64(0.1147), 2022: np.float64(0.0471), 2023: np.float64(0.0458), 2024: np.float64(-0.2552), 2025: np.float64(0.2478)}"
