model,n_months,const_coef,const_t,breadth_z_coef,breadth_z_t,size_ln_z_coef,size_ln_z_t,bm_z_coef,bm_z_t,mom_12m_z_coef,mom_12m_z_t,vol_12m_z_coef,vol_12m_z_t,recognition_spread_z_coef,recognition_spread_z_t,section,factor,period,mean_ic,ic_ir,t_stat,pos_rate,var1,var2,correlation,year,ic
M1: Breadth only,120.0,0.008004198077816046,1.3348398976626392,0.006265136985384154,3.3020710218656175,,,,,,,,,,,fama_macbeth,,,,,,,,,,,
M2: + Size,120.0,0.008003635056223302,1.3347057066972496,0.004094503206417137,3.2407948294116085,0.002861898245386599,1.0754366809693454,,,,,,,,,fama_macbeth,,,,,,,,,,,
M3: + Size + BM,120.0,0.008005861823173468,1.3349211021859049,0.002955142814199207,2.652225509146423,0.004431514832708058,1.8506781214775125,-0.00661256962622988,-2.389522897441071,,,,,,,fama_macbeth,,,,,,,,,,,
M4: + Size + BM + Mom,120.0,0.008007478520541794,1.3351953039187376,0.003087558286008434,2.9272974198447943,0.004369635239162922,1.8123052998875488,-0.006939065616744751,-2.6049093679375925,-0.0027451037242310263,-1.1074239536527017,,,,,fama_macbeth,,,,,,,,,,,
M5: + Size + BM + Mom + Vol,120.0,0.008010261281578956,1.3358467864976935,0.003297345977442421,3.1580801050446285,0.003764213025534957,1.5697004458140509,-0.00864679246859934,-3.7253853622270086,-0.0012056192855446292,-0.5068330407741112,-0.005574900509763394,-2.6782570848946725,,,fama_macbeth,,,,,,,,,,,
M6: RecogSpread only,120.0,0.008007634587484878,1.3355235353700503,,,,,,,,,,,0.0009658882646995094,1.0010297392441494,fama_macbeth,,,,,,,,,,,
M7: RecogSpread + Size + BM + Mom + Vol,120.0,0.008010276275798483,1.3358469509379585,,,0.006078623203372569,2.5877528120291706,-0.008830469499420636,-3.789151553880288,-0.0011287072618453551,-0.4750380325588317,-0.005596351778067148,-2.7003657876857803,0.0014546297188887441,1.7018010199062685,fama_macbeth,,,,,,,,,,,
,60.0,,,,,,,,,,,,,,,oos_split,breadth,"In-Sample
(2015-2020)",0.06803622922085749,0.609289058333614,4.719532751904973,0.7166666666666667,,,,,
,60.0,,,,,,,,,,,,,,,oos_split,breadth,"Out-of-Sample
(2021-2025)",0.009922587320447596,0.07760540954939894,0.6011289175208563,0.4666666666666667,,,,,
,60.0,,,,,,,,,,,,,,,oos_split,recognition_spread,"In-Sample
(2015-2020)",0.0028730915923762344,0.05702304891914469,0.44169863762763645,0.5,,,,,
,60.0,,,,,,,,,,,,,,,oos_split,recognition_spread,"Out-of-Sample
(2021-2025)",0.013803883257226594,0.20622053058489626,1.597377361202721,0.6166666666666667,,,,,
,60.0,,,,,,,,,,,,,,,oos_split,hidden_ratio,"In-Sample
(2015-2020)",0.031456803561155745,0.3647623249664277,2.8254368198377446,0.6833333333333333,,,,,
,60.0,,,,,,,,,,,,,,,oos_split,hidden_ratio,"Out-of-Sample
(2021-2025)",-0.007124252693104978,-0.06992003103731975,-0.5415982315476903,0.48333333333333334,,,,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,HiddenRatio,0.1006073167950387,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,RecogSpread,-0.06713904146463587,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,VisibleBreadth,-0.014605988287753838,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,Size(ln),0.18703242119739813,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,BM,1.0,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,Mom(12m),-0.059234075504310486,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,Vol(12m),-0.21014486698353502,,
,,,,,,,,,,,,,,,,correlation,,,,,,,Breadth,ROA,-0.0516172995767656,,
,,,,,,,,,,,,,,,,correlation,,,,,,,HiddenRatio,RecogSpread,0.19932168503902856,,
,,,,,,,,,,,,,,,,correlation,,,,,,,HiddenRatio,VisibleBreadth,0.6823057144307304,,
,,,,,,,,,,,,,,,,correlation,,,,,,,HiddenRatio,Size(ln),0.6014678121723082,,
,,,,,,,,,,,,,,,,correlation,,,,,,,HiddenRatio,BM,0.06594586934443553,,
